S18,STATUS
371201,GOV
371401,GOV
371402,GOV
371403,GOV
371404,GOV
371405,GOV
371406,GOV
371407,GOV
371501,GOV
371502,GOV
371503,GOV
371504,GOV
371506,GOV
371601,GOV
371602,GOV
371603,GOV
371604,GOV
371605,GOV
371606,GOV
371901,GOV
371902,GOV
371903,GOV
371913,GOV
411101,GOV
411102,GOV
411103,GOV
411104,GOV
411105,GOV
411106,GOV
411107,GOV
411108,GOV
411120,GOV
411121,GOV
411124,GOV
411126,GOV
411127,GOV
412101,GOV
412102,GOV
412103,GOV
412104,GOV
412105,GOV
412117,GOV
413201,GOV
413212,GOV
422201,GOV
422501,GOV
422502,GOV
431101,GOV
431102,GOV
431127,GOV
431201,GOV
431202,GOV
441101,GOV
441102,GOV
441901,GOV
441902,GOV
441903,GOV
441904,GOV
441905,GOV
511211,GOV
512101,GOV
512102,GOV
514201,GOV
515301,GOV
516401,GOV
531201,GOV
532101,GOV
532102,GOV
532112,GOV
532113,GOV
541101,GOV
541105,GOV
541106,GOV
541107,GOV
541108,GOV
541201,GOV
541202,GOV
541203,GOV
541204,GOV
541205,GOV
541206,GOV
541207,GOV
541208,GOV
541209,GOV
541210,GOV
541211,GOV
541212,GOV
541301,GOV
541302,GOV
541303,GOV
541304,GOV
541401,GOV
541402,GOV
541403,GOV
541404,GOV
541405,GOV
541419,GOV
541421,GOV
541422,GOV
541501,GOV
541502,GOV
541601,GOV
541901,GOV
541902,GOV
541918,GOV
541919,GOV
541920,GOV
541921,GOV
541922,GOV
621101,GOV
621102,GOV
711301,GOV
711501,GOV
711502,GOV
712601,GOV
712602,GOV
712603,GOV
712701,GOV
713101,GOV
721101,GOV
721201,GOV
721301,GOV
721302,GOV
721501,GOV
721502,GOV
722201,GOV
722202,GOV
723101,GOV
723102,GOV
731501,GOV
731701,GOV
732101,GOV
741101,GOV
741201,GOV
741202,GOV
741203,GOV
741222,GOV
741301,GOV
741302,GOV
741303,GOV
741304,GOV
741305,GOV
761201,GOV
762101,GOV
763901,GOV
763902,GOV
813229,GOV
818201,GOV
821101,GOV
821201,GOV
821901,GOV
831101,GOV
831102,GOV
831111,GOV
832201,GOV
832202,GOV
832203,GOV
833210,GOV
834301,GOV
962101,GOV
962102,GOV
962103,GOV
962104,GOV
962105,GOV
962106,GOV
962201,GOV
962202,GOV
962203,GOV
962501,GOV
962901,GOV
